ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
anda1282,Andadjin,,-16.531222,127.693718,anda1282,,6,dialect,Worrorran,dialects
awng1245,Awngtim,,-12.544,141.984,awng1245,,86,dialect,Pama-Nyungan,dialects
ayer1246,Ayerrerenge,,-23.699,133.88,ayer1246,,250,dialect,Pama-Nyungan,dialects
baty1234,Butchulla,,-25.44486,153.15399,baty1234,,91,dialect,Pama-Nyungan,dialects
bibb1234,Bibbulman,,-34.90831,117.17375,bibb1234,,121,dialect,Pama-Nyungan,dialects
bili1250,Bilinarra,,-16.868771,130.533991,bili1250,,404,dialect,Pama-Nyungan,dialects
binb1242,Binbinka,,-16.55208,134.78661,binb1242,,307,dialect,Mirndi,dialects
birr1241,Birrpayi,,,,birr1241,,362,dialect,Pama-Nyungan,dialects
boon1243,Boonwurrung,,-38.44632,145.83699,boon1243,,215,dialect,Pama-Nyungan,dialects
daun1234,Daungwurrung,,-36.96691,145.42066,daun1234,,216,dialect,Pama-Nyungan,dialects
dhuw1250,Dhuwaya,,,,dhuw1250,,237,dialect,Pama-Nyungan,dialects
dira1238,Dirari,,-28.7992,138.078,dira1238,,371 379,dialect,Pama-Nyungan,dialects
djab1234,Djabwurrung,,,,djab1234,,176,dialect,Pama-Nyungan,dialects
djad1246,Djadjawurrungic,,,,djad1246,,176 177,dialect,Pama-Nyungan,dialects
djuw1238,Juwaliny,,-20.34239,122.28179,djuw1238,,414,dialect,Pama-Nyungan,dialects
duun1241,Duungidjawu,,-25.3987,152.345,duun1241,,88 93,dialect,Pama-Nyungan,dialects
ganu1234,Ganulu,,,,ganu1234,,206,dialect,Pama-Nyungan,dialects
gayi1238,Gayiri,,-23.90399,148.08148,gayi1238,,461 462,dialect,Pama-Nyungan,dialects
gore1235,Goreng,,-33.79639,119.01226,gore1235,,42,dialect,Pama-Nyungan,dialects
guda1242,Wambaya-Gudanji,,-17.42,134.73,guda1242,,306,dialect,Mirndi,dialects
gund1248,Gundungurra,,-33.7,150.3,gund1248,,158,dialect,Pama-Nyungan,dialects
ilga1238,Ilgar,,,,ilga1238,,278,dialect,Iwaidjan Proper,dialects
jabu1247,Jaburarra,,,,jabu1247,,5,dialect,Pama-Nyungan,dialects
jand1248,Jandai,,-27.56865,153.46239,jand1248,,106 109,dialect,Pama-Nyungan,dialects
kani1276,Kaniyang,,-33.4956,116.35448,kani1276,,123,dialect,Pama-Nyungan,dialects
