name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Karlaaku,NatjuCluster,1,kala1379,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngajumaya,NatjuCluster,2,ngad1258,traditional,Files for Australian Language Locations,1,0,-1,,,"Better name for the language would be Marlpamaya (human language) rather than 'Ngajumaya"" (I language) (Doug Marmion, pc)"
Ngarinyin,Ngarinyinic,3,ngar1284,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Worla,Ngarinyinic,4,wurl1240,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Yapurarra,Ngayarta,5,jabu1247,traditional,Files for Australian Language Locations,1,0,-1,,,
Andajin,Ngarinyinic,6,anda1282,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Ngarlawangga,Ngayarta,7,yinh1234,traditional,Files for Australian Language Locations,1,0,-1,,,name changed from Ngalawangka per Doug Marmion
Ngarluma,Ngayarta,8,ngar1287,traditional,Files for Australian Language Locations,1,0,-1,,,
Martuthunira,Ngayarta,9,mart1255,traditional,Files for Australian Language Locations,1,0,-1,,,
Nhuwala,Ngayarta,10,nhuw1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Palyku,Ngayarta,11,nija1241,traditional,Files for Australian Language Locations,1,0,-1,,,
Panyjima,Ngayarta,12,pany1241,traditional,Files for Australian Language Locations,1,0,-1,,,
Kurrama,Ngayarta,13,kurr1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Nyamal,Ngayarta,14,nyam1271,traditional,Files for Australian Language Locations,1,0,-1,,,
Kariyarra,Ngayarta,15,kari1304,traditional,Files for Australian Language Locations,1,0,-1,,,
Jurruru,Ngayarta,16,tjur1240,traditional,Files for Australian Language Locations,1,0,-1,,,
Wanamara,Mayi,17,wunu1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Mangala,Marrngu,18,mang1383,traditional,Files for Australian Language Locations,1,0,-1,,,
Mayi-Kulan,Mayi,19,mayi1236,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngawun,Mayi,20,ngaw1240,traditional,Files for Australian Language Locations,1,0,-1,,,
Mayi-Yapi,Mayi,21,mayi1235,traditional,Files for Australian Language Locations,1,0,-1,,,
Mayi-Kutuna,Mayi,22,maya1280,traditional,Files for Australian Language Locations,1,0,-1,,,
